,address,checkins,city,country,created,icon,id,latitude,longitude,title,type,updated
432,Кутузовский просп. 30К32,91,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6054,55.74151,37.537541,Кофе Хауз,3,1529757425.0
433,Русаковская 29,38,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6055,55.787715,37.677262,Крепери де Пари,3,1514133960.0
434,1-й Обыденский пер. 3,0,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6056,55.74262,37.60328,Casual,3,1371708174.0
435,просп. Вернадского ,0,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6057,55.683868,37.519198,Азия,3,1343235000.0
436,Остоженка 27К1,19,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6058,55.739215,37.596336,Азия-кафе,3,1486789044.0
437,Тверская 23,39,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6059,55.766911,37.600756,Goodman,3,1526144950.0
444,1-я Тверская-Ямская 29К1,1,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6066,55.77593,37.58512,Шелк,3,1347648146.0
446,2-я Тверская-Ямская 40К3,6,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6068,55.774229,37.590812,Барбарис,3,1434827547.0
447,Бутырская 6,6,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6069,55.795813,37.585067,Сбарро,3,1430461648.0
448,Удальцова 42,1,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6070,55.683747,37.490995,Сбарро,3,1442849493.0
449,Декабристов 12,1,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6071,55.863211,37.60188,Сбарро,3,1385311435.0
450,41-й км МКАД ,7,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6072,55.609733,37.493859,Сбарро,3,1371716589.0
